
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_018.45_00002.asd.ref
 -------------------------------------------------------------
Falhada                                                                                                                                                     
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:03:25
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 214 offset was 2097
SWIR2 gain was 513 offset was 2267
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 09:52:54 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 09:53:02 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_18.45_00002.asd.ref
350	 9.09814089536667E-02 
351	 9.11360383033752E-02 
352	 8.61806869506836E-02 
353	 9.00346785783768E-02 
354	 0.103081956505775 
355	 9.31717604398727E-02 
356	 9.04618799686432E-02 
357	 9.37601700425148E-02 
358	 9.28177461028099E-02 
359	 8.36774557828903E-02 
360	 0.08610450476408 
361	 9.59429740905762E-02 
362	 9.47305411100388E-02 
363	 9.05996114015579E-02 
364	 8.86834785342216E-02 
365	 9.02449414134026E-02 
366	 9.19552817940712E-02 
367	 9.11322608590126E-02 
368	 9.00794491171837E-02 
369	 9.10615846514702E-02 
370	 9.28579643368721E-02 
371	 9.33300703763962E-02 
372	 9.21580567955971E-02 
373	 9.01418477296829E-02 
374	 8.85424688458443E-02 
375	 8.96303206682205E-02 
376	 9.24539491534233E-02 
377	 9.30507630109787E-02 
378	 9.26654636859894E-02 
379	 9.24227684736252E-02 
380	 9.26128625869751E-02 
381	 9.14353728294373E-02 
382	 9.18644815683365E-02 
383	 9.26227048039436E-02 
384	 9.19240564107895E-02 
385	 9.45105031132698E-02 
386	 9.56414043903351E-02 
387	 9.50643867254257E-02 
388	 9.66431722044945E-02 
389	 9.76209938526154E-02 
390	 9.68047231435776E-02 
391	 9.49297919869423E-02 
392	 9.60934162139893E-02 
393	 9.70911160111427E-02 
394	 9.69989821314812E-02 
395	 9.59456786513329E-02 
396	 9.47776660323143E-02 
397	 9.65801253914833E-02 
398	 9.94627624750137E-02 
399	 9.83203426003456E-02 
400	 9.80746224522591E-02 
401	 9.84065234661102E-02 
402	 9.84841138124466E-02 
403	 9.78916883468628E-02 
404	 9.76320877671242E-02 
405	 9.80488657951355E-02 
406	 9.89276841282845E-02 
407	 9.87840741872787E-02 
408	 9.94469150900841E-02 
409	 0.100570961833 
410	 0.100480146706104 
411	 0.100571237504482 
412	 0.100156590342522 
413	 9.96690317988396E-02 
414	 0.101788364350796 
415	 0.101582318544388 
416	 0.10042941570282 
417	 0.100712560117245 
418	 0.101772919297218 
419	 0.102041244506836 
420	 0.101754769682884 
421	 0.102200172841549 
422	 0.10285995900631 
423	 0.103417776525021 
424	 0.10371945053339 
425	 0.103774890303612 
426	 0.104688264429569 
427	 0.105635039508343 
428	 0.105745665729046 
429	 0.105866827070713 
430	 0.105917558073997 
431	 0.106106840074062 
432	 0.106706075370312 
433	 0.106754720211029 
434	 0.107065998017788 
435	 0.107974871993065 
436	 0.108871102333069 
437	 0.108639493584633 
438	 0.108420379459858 
439	 0.109362438321114 
440	 0.110393688082695 
441	 0.110808536410332 
442	 0.11075235158205 
443	 0.110875621438026 
444	 0.110876441001892 
445	 0.111032858490944 
446	 0.111448772251606 
447	 0.111869864165783 
448	 0.11216214299202 
449	 0.112248785793781 
450	 0.112167477607727 
451	 0.112256571650505 
452	 0.1123336404562 
453	 0.112370833754539 
454	 0.112472459673882 
455	 0.112783014774323 
456	 0.112992435693741 
457	 0.112971268594265 
458	 0.113009668886662 
459	 0.113392293453217 
460	 0.113813415169716 
461	 0.113926164805889 
462	 0.114286527037621 
463	 0.114436902105808 
464	 0.11445414274931 
465	 0.114877812564373 
466	 0.115173742175102 
467	 0.115408264100552 
468	 0.115652747452259 
469	 0.115717031061649 
470	 0.115971080958843 
471	 0.116361662745476 
472	 0.116658829152584 
473	 0.116687752306461 
474	 0.116911575198174 
475	 0.117359645664692 
476	 0.117568224668503 
477	 0.117958188056946 
478	 0.118394576013088 
479	 0.11869689822197 
480	 0.118854679167271 
481	 0.119181588292122 
482	 0.119585499167442 
483	 0.119817733764648 
484	 0.120166175067425 
485	 0.120500676333904 
486	 0.120740637183189 
487	 0.120920695364475 
488	 0.121323883533478 
489	 0.121714726090431 
490	 0.121858961880207 
491	 0.122013904154301 
492	 0.12213733792305 
493	 0.122230298817158 
494	 0.122315868735313 
495	 0.12234053760767 
496	 0.122441619634628 
497	 0.122684516012669 
498	 0.122985512018204 
499	 0.123281747102737 
500	 0.123501554131508 
501	 0.123654872179031 
502	 0.124082662165165 
503	 0.124415144324303 
504	 0.124627903103828 
505	 0.124972462654114 
506	 0.125187605619431 
507	 0.125336796045303 
508	 0.12550650537014 
509	 0.125722974538803 
510	 0.125933110713959 
511	 0.126115083694458 
512	 0.126261562108994 
513	 0.126368075609207 
514	 0.126508682966232 
515	 0.126641809940338 
516	 0.126618653535843 
517	 0.126781851053238 
518	 0.126947119832039 
519	 0.126970231533051 
520	 0.127102613449097 
521	 0.127244547009468 
522	 0.12736564874649 
523	 0.12746325135231 
524	 0.127498611807823 
525	 0.127550318837166 
526	 0.127614960074425 
527	 0.127570480108261 
528	 0.127619281411171 
529	 0.127708360552788 
530	 0.127753213047981 
531	 0.127798438072205 
532	 0.127820774912834 
533	 0.127853319048882 
534	 0.127950310707092 
535	 0.127998366951942 
536	 0.128022745251656 
537	 0.128068700432777 
538	 0.128188148140907 
539	 0.12827479839325 
540	 0.12830413877964 
541	 0.128306105732918 
542	 0.128412753343582 
543	 0.128513872623444 
544	 0.128616914153099 
545	 0.128818333148956 
546	 0.128858909010887 
547	 0.128894582390785 
548	 0.129015162587166 
549	 0.128992170095444 
550	 0.129068404436111 
551	 0.129204973578453 
552	 0.129271507263184 
553	 0.129302769899368 
554	 0.129331275820732 
555	 0.12935645878315 
556	 0.129342183470726 
557	 0.129280298948288 
558	 0.129233792424202 
559	 0.129248574376106 
560	 0.129282787442207 
561	 0.129342555999756 
562	 0.12935845553875 
563	 0.129259049892426 
564	 0.129263237118721 
565	 0.129300862550735 
566	 0.12931016087532 
567	 0.129286393523216 
568	 0.129193484783173 
569	 0.129060089588165 
570	 0.128927916288376 
571	 0.128806367516518 
572	 0.128699019551277 
573	 0.128604233264923 
574	 0.128518685698509 
575	 0.128452926874161 
576	 0.128455087542534 
577	 0.128512889146805 
578	 0.128496497869492 
579	 0.128497242927551 
580	 0.128452703356743 
581	 0.128306344151497 
582	 0.128253519535065 
583	 0.128201425075531 
584	 0.128103733062744 
585	 0.127961903810501 
586	 0.127672746777534 
587	 0.127377048134804 
588	 0.127212479710579 
589	 0.127228930592537 
590	 0.127206102013588 
591	 0.127134203910828 
592	 0.127074658870697 
593	 0.126941129565239 
594	 0.126809641718864 
595	 0.126682877540588 
596	 0.126475423574448 
597	 0.126282796263695 
598	 0.126061603426933 
599	 0.125770792365074 
600	 0.125454485416412 
601	 0.125135436654091 
602	 0.124857924878597 
603	 0.124658554792404 
604	 0.12447764724493 
605	 0.124311722815037 
606	 0.124142669141293 
607	 0.123924992978573 
608	 0.123726837337017 
609	 0.123509861528873 
610	 0.123242512345314 
611	 0.122995652258396 
612	 0.122776687145233 
613	 0.122553132474422 
614	 0.122280791401863 
615	 0.122043468058109 
616	 0.121848605573177 
617	 0.121667273342609 
618	 0.121429532766342 
619	 0.121182665228844 
620	 0.120951555669308 
621	 0.120741851627827 
622	 0.120501860976219 
623	 0.120277635753155 
624	 0.120072469115257 
625	 0.119859412312508 
626	 0.119627460837364 
627	 0.11940735578537 
628	 0.119211807847023 
629	 0.119016140699387 
630	 0.118785940110683 
631	 0.118542298674583 
632	 0.118321962654591 
633	 0.118150375783443 
634	 0.117942102253437 
635	 0.117701768875122 
636	 0.117501631379128 
637	 0.117300808429718 
638	 0.11707891523838 
639	 0.116848915815353 
640	 0.116681858897209 
641	 0.116487607359886 
642	 0.116287350654602 
643	 0.116115815937519 
644	 0.115888990461826 
645	 0.115658216178417 
646	 0.1154470667243 
647	 0.115250416100025 
648	 0.115034461021423 
649	 0.114839017391205 
650	 0.114675253629684 
651	 0.114476263523102 
652	 0.114277899265289 
653	 0.114081494510174 
654	 0.113888755440712 
655	 0.113758534193039 
656	 0.113611117005348 
657	 0.113417312502861 
658	 0.113199628889561 
659	 0.113020539283752 
660	 0.112864434719086 
661	 0.112696848809719 
662	 0.112469144165516 
663	 0.112308904528618 
664	 0.112183108925819 
665	 0.112026765942574 
666	 0.111891411244869 
667	 0.111727029085159 
668	 0.111543565988541 
669	 0.111393958330154 
670	 0.111258797347546 
671	 0.111095100641251 
672	 0.11089813709259 
673	 0.110731333494186 
674	 0.110584318637848 
675	 0.110456436872482 
676	 0.110339902341366 
677	 0.110201291739941 
678	 0.110039673745632 
679	 0.109880819916725 
680	 0.109761878848076 
681	 0.109655857086182 
682	 0.109546341001987 
683	 0.109425343573093 
684	 0.109295219182968 
685	 0.109162949025631 
686	 0.109035141766071 
687	 0.108917653560638 
688	 0.108818702399731 
689	 0.108698919415474 
690	 0.108566410839558 
691	 0.108453318476677 
692	 0.108354084193707 
693	 0.108266316354275 
694	 0.108182325959206 
695	 0.108088918030262 
696	 0.107981383800507 
697	 0.107889004051685 
698	 0.107825867831707 
699	 0.107754983007908 
700	 0.107630237936974 
701	 0.107525244355202 
702	 0.107522338628769 
703	 0.107463456690311 
704	 0.107368849217892 
705	 0.107279613614082 
706	 0.107238844037056 
707	 0.107180647552013 
708	 0.107128173112869 
709	 0.10709448158741 
710	 0.107046380639076 
711	 0.107013501226902 
712	 0.106978319585323 
713	 0.106921941041946 
714	 0.106871455907822 
715	 0.106860905885696 
716	 0.106846749782562 
717	 0.106762379407883 
718	 0.106773033738136 
719	 0.106766238808632 
720	 0.106714941561222 
721	 0.106731861829758 
722	 0.106723003089428 
723	 0.106747768819332 
724	 0.106821075081825 
725	 0.106757991015911 
726	 0.106719896197319 
727	 0.106726638972759 
728	 0.106743358075619 
729	 0.106759659945965 
730	 0.106787644326687 
731	 0.106821969151497 
732	 0.106843292713165 
733	 0.106842458248138 
734	 0.10686095058918 
735	 0.106907390058041 
736	 0.10693135112524 
737	 0.107016853988171 
738	 0.107087433338165 
739	 0.107080921530724 
740	 0.107092350721359 
741	 0.107094243168831 
742	 0.107112854719162 
743	 0.107178695499897 
744	 0.107221409678459 
745	 0.107278808951378 
746	 0.107354089617729 
747	 0.107418015599251 
