
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_033.20_00003.asd.ref
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:23:57
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 203 offset was 2094
SWIR2 gain was 499 offset was 2264
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 10:13:56 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 10:14:04 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_33.20_00003.asd.ref
350	 0.18678891658783 
351	 0.185214906930923 
352	 0.184726595878601 
353	 0.191153362393379 
354	 0.20117150247097 
355	 0.18947622179985 
356	 0.185781896114349 
357	 0.188337817788124 
358	 0.186873748898506 
359	 0.182921037077904 
360	 0.189314156770706 
361	 0.199296921491623 
362	 0.195448413491249 
363	 0.188948214054108 
364	 0.188581094145775 
365	 0.193928316235542 
366	 0.193820685148239 
367	 0.189716503024101 
368	 0.189271211624146 
369	 0.195690587162971 
370	 0.196800127625465 
371	 0.192353308200836 
372	 0.188628107309341 
373	 0.192386075854301 
374	 0.194055140018463 
375	 0.196331262588501 
376	 0.197634041309357 
377	 0.191563636064529 
378	 0.19000731408596 
379	 0.19230143725872 
380	 0.195182114839554 
381	 0.195701330900192 
382	 0.194889008998871 
383	 0.194993183016777 
384	 0.197216868400574 
385	 0.194671303033829 
386	 0.193010687828064 
387	 0.19398558139801 
388	 0.195202007889748 
389	 0.196232989430428 
390	 0.195365533232689 
391	 0.192946180701256 
392	 0.193823680281639 
393	 0.193773716688156 
394	 0.193129658699036 
395	 0.193245500326157 
396	 0.192940413951874 
397	 0.192977800965309 
398	 0.193465143442154 
399	 0.193903520703316 
400	 0.193579584360123 
401	 0.193194895982742 
402	 0.193163111805916 
403	 0.193015292286873 
404	 0.193166673183441 
405	 0.192888528108597 
406	 0.19172790646553 
407	 0.191568121314049 
408	 0.191538736224175 
409	 0.191233575344086 
410	 0.190740093588829 
411	 0.191286668181419 
412	 0.191399544477463 
413	 0.190606206655502 
414	 0.190477207303047 
415	 0.190655574202538 
416	 0.190441012382507 
