from,ref
4.62,0.21423643924104863
8.46,0.2551510080786852
18.45,0.12249840916635898
23.26,0.20160671735325686
26.1,0.3441541885825304
29.7,0.17303486431561985
33.2,0.21599653594768964
36.2,0.25832027124441587
39,0.2091421168851547
43.8,0.21272180090500759
48.95,0.24306392866504062
52.75,0.15225451166049028
55.8,0.15976343917541014
59.35,0.24569758279506976
60.15,0.15415716385994202
64.74,0.1505788516979187
67.78,0.2639266118426354
74.24,0.27044762120797083
77.95,0.267553945848575
82.2,0.28952269501411
86.08,0.33258284561145
90.03,0.23688456847881662
93.98,0.23463369879202967
97.9,0.22219878437427373
100.88,0.31593658675750097
105.03,0.3878747850026076
108.99,0.177095659833688
112.05,0.2055473161660708
114.77,0.1720614387851495
118.36,0.19620556792960717
122.91,0.19789513849295104
127.35,0.33931614744357574
132,0.2096451364304775
135.59,0.2485534314581981
140.26,0.1648252053014361
145.2,0.21670195596493205
149.6,0.30726750856981827
152.47,0.2643872282214654
155.48,0.2965807193670517
159.59,0.1883771935105324
162.35,0.27584929090279797
166.52,0.15832654597667548
166.97,0.2234351714482674
170.7,0.15928203646953287
173.27,0.26361378692663634
177.3,0.24195524995143597
182.8,0.12813543789088727
185.77,0.1292944672780159
190.4,0.1907417014406787
191.82,0.1663127500893405
196.07,0.1694029302150011
198.8,0.2193896035850048
203.55,0.18288012062700895
205.02,0.1994628940637295
207.18,0.17011800748797565
209.45,0.20537520548472038
212.11,0.23527098204080873
213.83,0.15137564244178625
214.6,0.14947521279924192
222.09,0.19741363814473153
226.77,0.20425374104044378
227.84,0.22198214184779388
234.19,0.13783506612610685
239.35,0.2242996512376345
244.2,0.17403538214759184
249.07,0.11397133302917847
252.85,0.20803615567284625
257.25,0.2189809430677157
267.64,0.09784821091449031
271.15,0.18997647844828092
273.15,0.12063626832686938
276.48,0.18040587368378272
286.3,0.21090147074980614
292.93,0.13946180492926102
304.8,0.20056047806831506
311.21,0.15515897925083455
314.9,0.1343988021680942
320.44,0.09840850438636083
325.25,0.2168541503411073
326.81,0.15781230683892203
330.65,0.22003931128061735
338.43,0.34056975431167164
342.59,0.15124786652338046
346.55,0.1591767659726051
350.84,0.22507671230114423
358,0.227285936797181
362.8,0.17569817476834243
366.85,0.21878868599350637
372.44,0.16968962201705345
380.35,0.21272730290125577
384.38,0.20985535127994343
389.2,0.19331165721783272
396.46,0.14830517185192843
402.86,0.26964673787355425
408.5,0.2513412037583498
415.84,0.3356631204027396
419.11,0.15414816967569864
423,0.18524036792035287
426.47,0.19014113729733687
428,0.22121082016481802
431.91,0.21366630800068379
437.07,0.22499118442489552
442.7,0.24396898078918458
446.8,0.2717423936438102
451.15,0.17404657158550327
456.6,0.1563552893564487
461.75,0.26553247609466285
465.42,0.3536444839147421
471,0.23225887196950423
472.85,0.16951388343022417
473.79,0.223702605843544
478.75,0.32382609798358036
483.07,0.25733128691330936
488.5,0.2238408053223975
491.83,0.22915544566435692
496.8,0.25544495513805976
502.08,0.34227156004844567
512,0.25971228633935634
522,0.256274150632895
532.4,0.17387901512934612
536.4,0.2816795421945743
538.7,0.13119647162178388
543.07,0.12814507535634898
546.9,0.1421737758929913
554.25,0.2634724310346139
565.25,0.35924770677701023
