
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_018.45_00001.asd.ref
 -------------------------------------------------------------
Falhada                                                                                                                                                     
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:02:53
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 214 offset was 2097
SWIR2 gain was 513 offset was 2267
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 09:52:54 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 09:53:02 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_18.45_00001.asd.ref
530	 0.111662976443768 
531	 0.11178869754076 
532	 0.111902564764023 
533	 0.112015098333359 
534	 0.112052194774151 
535	 0.112222798168659 
536	 0.112431019544601 
537	 0.11258252710104 
538	 0.112646915018559 
539	 0.112793266773224 
540	 0.112961180508137 
541	 0.113063655793667 
542	 0.113248884677887 
543	 0.113443739712238 
544	 0.113649040460587 
545	 0.113921947777271 
546	 0.114072181284428 
547	 0.114199973642826 
548	 0.114384382963181 
549	 0.11455262452364 
550	 0.114655531942844 
551	 0.114793047308922 
552	 0.115068815648556 
553	 0.115228705108166 
554	 0.115386195480824 
555	 0.115564472973347 
556	 0.11566498875618 
557	 0.115772724151611 
558	 0.115939058363438 
559	 0.116173885762691 
560	 0.116402067244053 
561	 0.116648882627487 
562	 0.116861842572689 
563	 0.116981402039528 
564	 0.11721870303154 
565	 0.117436543107033 
566	 0.117585077881813 
567	 0.117785483598709 
568	 0.117937155067921 
569	 0.11803775280714 
570	 0.118120312690735 
571	 0.11824081838131 
572	 0.118371874094009 
573	 0.118529558181763 
574	 0.118753746151924 
575	 0.118990980088711 
576	 0.119239844381809 
577	 0.1194928586483 
578	 0.119725570082664 
579	 0.119907461106777 
580	 0.120042018592358 
581	 0.12014301866293 
582	 0.120190769433975 
583	 0.120282731950283 
584	 0.120402954518795 
585	 0.120439387857914 
586	 0.120468012988567 
587	 0.120477981865406 
588	 0.120489485561848 
589	 0.120633967220783 
590	 0.120785742998123 
591	 0.120887696743011 
592	 0.12091713398695 
593	 0.120867691934109 
594	 0.120827086269855 
595	 0.120835311710835 
596	 0.12087045609951 
597	 0.120805829763412 
598	 0.120666161179543 
599	 0.120514675974846 
600	 0.120419912040234 
601	 0.120284475386143 
602	 0.120118223130703 
603	 0.119981557130814 
604	 0.119881249964237 
605	 0.119776822626591 
606	 0.119662590324879 
607	 0.119581587612629 
608	 0.119504414498806 
609	 0.119386911392212 
610	 0.119211174547672 
611	 0.119043335318565 
612	 0.1189104616642 
613	 0.118769727647305 
614	 0.118555270135403 
615	 0.118403382599354 
616	 0.118292719125748 
617	 0.118174195289612 
618	 0.117985315620899 
619	 0.117807932198048 
620	 0.117658145725727 
621	 0.117523677647114 
622	 0.117360234260559 
623	 0.117198012769222 
624	 0.117035046219826 
625	 0.116851791739464 
626	 0.116696462035179 
627	 0.116520076990128 
628	 0.116324722766876 
629	 0.116230696439743 
630	 0.116052709519863 
631	 0.115829266607761 
632	 0.115656659007072 
633	 0.115559570491314 
634	 0.115404598414898 
635	 0.115192487835884 
636	 0.11502892524004 
637	 0.114890411496162 
638	 0.1147440969944 
639	 0.114582113921642 
640	 0.114449188113213 
641	 0.114289537072182 
642	 0.114122599363327 
643	 0.113975554704666 
644	 0.113781653344631 
645	 0.113638073205948 
646	 0.113529525697231 
647	 0.113354712724686 
648	 0.113204799592495 
649	 0.113041788339615 
650	 0.112861208617687 
651	 0.112764351069927 
652	 0.112640969455242 
653	 0.11247967928648 
654	 0.112311102449894 
655	 0.112190879881382 
656	 0.112067326903343 
657	 0.111934922635555 
658	 0.111821636557579 
659	 0.111629530787468 
660	 0.111485987901688 
661	 0.11142373085022 
662	 0.111232168972492 
663	 0.111100561916828 
664	 0.111000508069992 
665	 0.110863618552685 
666	 0.110768869519234 
667	 0.110661596059799 
668	 0.110532701015472 
669	 0.11041060090065 
670	 0.11030288785696 
671	 0.110180787742138 
672	 0.110047109425068 
673	 0.109968468546867 
674	 0.109861075878143 
675	 0.109748147428036 
676	 0.109667561948299 
677	 0.109587579965591 
678	 0.109479166567326 
679	 0.109347023069859 
680	 0.109222032129765 
681	 0.109143927693367 
682	 0.109066858887672 
683	 0.108965992927551 
684	 0.108862683176994 
685	 0.108810007572174 
686	 0.108742319047451 
687	 0.108615599572659 
688	 0.108561612665653 
689	 0.108503669500351 
690	 0.108410820364952 
691	 0.108290977776051 
692	 0.108226962387562 
693	 0.108176775276661 
694	 0.108112893998623 
695	 0.108041189610958 
696	 0.107992969453335 
697	 0.107967793941498 
698	 0.10794959962368 
699	 0.107908740639687 
700	 0.107811719179153 
701	 0.107717350125313 
702	 0.107698731124401 
703	 0.107677988708019 
704	 0.10764741897583 
705	 0.107612729072571 
706	 0.107587188482285 
707	 0.107556499540806 
708	 0.107533119618893 
709	 0.107525080442429 
710	 0.107525356113911 
711	 0.107523202896118 
712	 0.107502035796642 
713	 0.107460379600525 
714	 0.107455164194107 
715	 0.107447490096092 
716	 0.107423685491085 
717	 0.107396379113197 
718	 0.107445999979973 
719	 0.107453778386116 
720	 0.107401713728905 
721	 0.107419833540916 
722	 0.10746668279171 
723	 0.107524678111076 
724	 0.107568591833115 
725	 0.107541084289551 
726	 0.107520319521427 
727	 0.107542417943478 
728	 0.107608079910278 
729	 0.107642762362957 
730	 0.107685320079327 
731	 0.107739269733429 
732	 0.107777342200279 
733	 0.107800118625164 
734	 0.107835099101067 
