
Text conversion of header file \A_MEDIDAS\PROJETOS\BRASIL\BLOCO GAVIAO\JACOBINA\CANIF27\sco\CANIF27_018.45_00003.asd.ref
 -------------------------------------------------------------
Falhada                                                                                                                                                     
The instrument number was  16586/1
New ASD spectrum file: Program version = 6.00 file version = 1.00
Spectrum saved: 10/16/2018 at 10:04:03
VNIR integration time : 34
VNIR channel 1 wavelength = 350 wavelength step = 1
There were 50 samples per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 1.25
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 214 offset was 2097
SWIR2 gain was 513 offset was 2267
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1830 nm
Absolute Reflectance is Enabled
The Absolute Reflectance File is abs165861.ref
VNIR dark signal subtracted
50 dark measurements taken Tue Oct 16 09:52:54 2018
DCC value was 0
Data is compared to a white reference:
60 white reference measurements taken Tue Oct 16 09:53:02 2018
There was no foreoptic attached
Spectrum file is reflectance data
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is Wed Dec 31 17:00:00 1969

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Reflectance Absolute
Wavelength	CANIF27_18.45_00003.asd.ref
350	 7.39243924617767E-02 
351	 7.21657872200012E-02 
352	 7.22503811120987E-02 
353	 7.40921050310135E-02 
354	 7.53622129559517E-02 
355	 7.08682611584663E-02 
356	 7.99532383680344E-02 
357	 8.46044719219208E-02 
358	 0.067855566740036 
359	 6.88768550753593E-02 
360	 7.29951485991478E-02 
361	 7.38499686121941E-02 
362	 7.25841447710991E-02 
363	 6.68246522545815E-02 
364	 6.84387311339378E-02 
365	 7.76599422097206E-02 
366	 7.75887668132782E-02 
367	 7.17712715268135E-02 
368	 0.06854547560215 
369	 7.25854933261871E-02 
370	 7.51184746623039E-02 
371	 7.67136365175247E-02 
372	 7.64812231063843E-02 
373	 7.36135318875313E-02 
374	 7.12030604481697E-02 
375	 7.25558921694756E-02 
376	 7.56688565015793E-02 
377	 7.37785398960114E-02 
378	 7.37821236252785E-02 
379	 7.52329304814339E-02 
380	 7.62287229299545E-02 
381	 7.45954886078835E-02 
382	 7.38439485430717E-02 
383	 7.39878192543983E-02 
384	 7.40551576018333E-02 
385	 7.56219178438187E-02 
386	 7.74086713790894E-02 
387	 7.83613473176956E-02 
388	 7.79129192233086E-02 
389	 7.77554512023926E-02 
390	 7.79847502708435E-02 
391	 7.82588049769402E-02 
392	 7.79178515076637E-02 
393	 7.79966711997986E-02 
394	 7.81216248869896E-02 
395	 7.76934921741486E-02 
396	 7.71142393350601E-02 
