Wavelength;ref
792;0.441585183
793;0.441250503
794;0.44092235
795;0.440542459
796;0.440038979
797;0.439701796
798;0.439384222
799;0.43902576
800;0.438657761
801;0.438238353
802;0.437741816
803;0.437208772
804;0.436745882
805;0.43626231
806;0.435805827
807;0.43534866
808;0.434694409
809;0.433947206
810;0.433256805
811;0.432712495
812;0.432221681
813;0.431779444
814;0.431216449
815;0.430437177
816;0.429816842
817;0.42905584
818;0.428239465
819;0.427592516
820;0.426976174
821;0.426320046
822;0.425558716
823;0.424679458
824;0.423977107
825;0.423259258
826;0.422431082
827;0.421557218
828;0.420837641
829;0.420110792
830;0.419304073
831;0.418517798
832;0.41774106
833;0.4169043
834;0.416038454
835;0.415340185
836;0.414407074
837;0.413519561
838;0.412851661
839;0.412024379
840;0.411219925
841;0.410392523
842;0.409457713
843;0.408372968
844;0.40746817
845;0.406684309
846;0.405863702
847;0.405023366
848;0.404140621
849;0.403265625
850;0.402423441
851;0.401418179
852;0.400409132
853;0.399471313
854;0.39862296
855;0.397892326
856;0.397013068
857;0.396093607
858;0.395353079
859;0.394317359
860;0.393299401
861;0.392368287
862;0.391419679
863;0.39056775
864;0.389740169
865;0.388894945
866;0.38802129
867;0.387053758
868;0.386200666
869;0.385438263
870;0.384560317
871;0.383661032
872;0.382733166
873;0.381751955
874;0.380722731
875;0.379940778
876;0.379180968
877;0.378314555
878;0.37738353
879;0.376508176
880;0.375671178
881;0.374781191
882;0.37374863
883;0.372973442
884;0.37223497
885;0.371392936
886;0.370488405
887;0.369617194
888;0.368878305
889;0.368163854
890;0.367233813
891;0.366471052
892;0.365673959
893;0.364812613
894;0.364058495
895;0.363226831
896;0.362473845
897;0.361784428
898;0.360987157
899;0.360257238
900;0.35947448
901;0.358618438
902;0.357793063
903;0.357136428
904;0.356491417
905;0.355766684
906;0.354982316
907;0.354315549
908;0.35363999
909;0.352884263
910;0.352059007
911;0.351233155
912;0.350642323
913;0.35018611
914;0.349601746
915;0.348953992
916;0.348297089
917;0.347639918
918;0.346960694
919;0.346220553
920;0.345518678
921;0.344940484
922;0.344488591
923;0.34395963
924;0.343366146
925;0.342716753
926;0.342079818
927;0.341665149
928;0.341204822
929;0.340665936
930;0.340092212
931;0.339522451
932;0.338973582
933;0.338501662
934;0.338098556
935;0.33764863
936;0.337138057
937;0.336602747
938;0.336091578
939;0.335643679
940;0.335216582
941;0.334812909
942;0.334412396
943;0.333988875
944;0.333659381
945;0.333285749
946;0.332837284
947;0.332379699
948;0.331961304
949;0.33158955
950;0.331310689
951;0.331132382
952;0.330884963
953;0.330669761
954;0.330446988
955;0.330200225
956;0.330064029
957;0.329901278
958;0.329669565
959;0.329438239
960;0.329363912
961;0.329114884
962;0.328914344
963;0.328826845
964;0.328697771
965;0.328665525
966;0.328668684
967;0.328587919
968;0.328367144
969;0.328275174
970;0.328273416
971;0.32831344
972;0.328342319
973;0.328314751
974;0.328276068
975;0.328224033
976;0.328207433
977;0.32834366
978;0.328473687
979;0.32860589
980;0.328694999
981;0.328715056
982;0.329190105
983;0.329448611
984;0.329540759
985;0.329826564
986;0.330101013
987;0.330414414
988;0.330750644
989;0.331089973
990;0.331442744
991;0.331846654
992;0.332445055
993;0.333115518
994;0.333549678
995;0.334014654
996;0.334549725
997;0.335155785
998;0.33582148
999;0.336569101
1000;0.337238014
1001;0.336817116
1002;0.337502539
1003;0.338168681
1004;0.338999689
1005;0.339742035
1006;0.340406924
1007;0.341192693
1008;0.341943264
1009;0.342688948
1010;0.343502939
1011;0.344260395
1012;0.344884247
1013;0.345686644
1014;0.346586108
1015;0.34744817
1016;0.348375857
1017;0.34934026
1018;0.35014078
1019;0.350970089
1020;0.351878971
1021;0.352730215
1022;0.353601515
1023;0.3545205
1024;0.355367601
1025;0.356127799
1026;0.356941849
1027;0.357780486
1028;0.358578563
1029;0.359344274
1030;0.360169679
1031;0.360980511
1032;0.361726254
1033;0.362535745
1034;0.363440841
1035;0.364422858
1036;0.365465492
1037;0.366501123
1038;0.367408454
1039;0.368245184
1040;0.368895888
1041;0.369668633
1042;0.370393991
1043;0.37121582
1044;0.372095972
1045;0.373016059
1046;0.373958349
1047;0.374935329
1048;0.375811368
1049;0.376566589
1050;0.377353907
1051;0.37814638
1052;0.378896773
1053;0.379738688
1054;0.380612224
1055;0.381506413
1056;0.382333606
1057;0.383157939
1058;0.384090066
1059;0.384910583
1060;0.385762036
1061;0.386690974
1062;0.387485743
1063;0.388250172
1064;0.389087439
1065;0.389903456
1066;0.390814662
1067;0.391780674
1068;0.392625958
1069;0.393514842
1070;0.39445734
1071;0.395324588
1072;0.396156281
1073;0.396996021
1074;0.397771508
1075;0.398564249
1076;0.39941299
1077;0.400408953
1078;0.401343048
1079;0.402207047
1080;0.403087705
1081;0.403862745
1082;0.404750496
1083;0.405702114
1084;0.406586677
1085;0.40742597
1086;0.408280283
1087;0.409117818
1088;0.409950733
1089;0.410701424
1090;0.41153124
1091;0.412260711
1092;0.412917048
1093;0.413727432
1094;0.414523572
1095;0.415378749
1096;0.416240126
1097;0.417112619
1098;0.417978019
1099;0.418714583
1100;0.419454962
1101;0.420176178
1102;0.420826852
1103;0.421506852
1104;0.422250867
1105;0.422968715
1106;0.423726976
1107;0.424422443
1108;0.425086826
1109;0.425747246
1110;0.426368713
1111;0.426965415
1112;0.427504539
1113;0.428085178
1114;0.428691417
1115;0.429253221
1116;0.429831713
1117;0.430425018
1118;0.431029171
1119;0.431605607
1120;0.432116181
1121;0.432651937
1122;0.433169484
1123;0.433637083
1124;0.434241086
1125;0.434862703
1126;0.435420156
1127;0.435958207
1128;0.43643117
1129;0.436904162
1130;0.43735522
1131;0.437805653
1132;0.438302845
1133;0.438762844
1134;0.439233601
1135;0.439711273
1136;0.440210074
1137;0.440673739
1138;0.441123664
1139;0.441583693
1140;0.442059219
1141;0.442489386
1142;0.442908704
1143;0.443367153
1144;0.443761259
1145;0.444129795
1146;0.444560617
1147;0.444931209
1148;0.445294946
1149;0.445716679
1150;0.446194112
1151;0.44664225
1152;0.447102636
1153;0.447578192
1154;0.448058277
1155;0.448527753
1156;0.449011952
1157;0.449547976
1158;0.45005253
1159;0.450525701
1160;0.451021135
1161;0.451491058
1162;0.451956183
1163;0.452462465
1164;0.452980608
1165;0.453509361
1166;0.454047889
1167;0.454628795
1168;0.455153525
1169;0.455658823
1170;0.45615992
1171;0.456681013
1172;0.457196772
1173;0.457740694
1174;0.458293349
1175;0.458831251
1176;0.459422141
1177;0.460010707
1178;0.460618734
1179;0.461230844
1180;0.461742699
1181;0.462248832
1182;0.462771833
1183;0.463311613
1184;0.463875026
1185;0.464410752
1186;0.46495685
1187;0.465487838
1188;0.465988666
1189;0.466472387
1190;0.467025727
1191;0.4675394
1192;0.468097776
1193;0.468714148
1194;0.469235003
1195;0.469832361
1196;0.470413953
1197;0.470912218
1198;0.471501172
1199;0.47203961
1200;0.472524464
1201;0.473063678
1202;0.473608762
1203;0.474148512
1204;0.47470808
1205;0.475312114
1206;0.475892454
1207;0.476459116
1208;0.477034211
1209;0.477637321
1210;0.478188366
1211;0.478696406
1212;0.479230851
1213;0.479761571
1214;0.480285913
1215;0.480867565
1216;0.481471568
1217;0.482059866
1218;0.482643872
1219;0.483202845
1220;0.483729661
1221;0.484277755
1222;0.484820008
1223;0.485360444
1224;0.485891908
1225;0.486450046
1226;0.487006754
1227;0.487592548
1228;0.48817414
1229;0.48878026
1230;0.489410669
1231;0.489994556
1232;0.49054268
1233;0.491075814
1234;0.491618276
1235;0.492207259
1236;0.492858559
1237;0.493504405
1238;0.494089425
1239;0.494605333
1240;0.495166808
1241;0.495701849
1242;0.496278495
1243;0.496923745
1244;0.497494996
1245;0.498019725
1246;0.498588979
1247;0.499154478
1248;0.499709398
1249;0.500300884
1250;0.500921011
1251;0.501488149
1252;0.502036989
1253;0.502619386
1254;0.503130257
1255;0.503657222
1256;0.504244208
1257;0.5047822
1258;0.505348742
1259;0.505916238
1260;0.506473601
1261;0.507040203
1262;0.507637143
1263;0.50820756
1264;0.508779049
1265;0.509339869
1266;0.509900868
1267;0.510425329
1268;0.510921776
1269;0.511407554
1270;0.511854112
1271;0.512317955
1272;0.512769878
1273;0.513247192
1274;0.513759017
1275;0.514229357
1276;0.51471597
1277;0.515268862
1278;0.515806139
1279;0.516366184
1280;0.516958773
1281;0.517594635
1282;0.518189907
1283;0.51880753
1284;0.519400239
1285;0.519990623
1286;0.520541847
1287;0.521058202
1288;0.521583796
1289;0.522070229
1290;0.522579312
1291;0.523113728
1292;0.523643553
1293;0.524159253
1294;0.524631143
1295;0.525096655
1296;0.525612712
1297;0.526107609
1298;0.526616395
1299;0.527171671
1300;0.52771455
1301;0.528262794
1302;0.528759003
1303;0.529294014
1304;0.529788196
1305;0.530389965
1306;0.531104147
1307;0.531737149
1308;0.532390475
1309;0.532998204
1310;0.533516645
1311;0.534111321
1312;0.534740806
1313;0.535369158
1314;0.536005616
1315;0.536645055
1316;0.537270784
1317;0.537956655
1318;0.538622916
1319;0.539276004
1320;0.539919019
1321;0.540463805
1322;0.540982604
1323;0.541576505
1324;0.542103052
1325;0.542618871
1326;0.543180764
1327;0.543752432
1328;0.544292271
1329;0.544905841
1330;0.54538554
1331;0.545755804
1332;0.546181619
1333;0.546559155
1334;0.546954334
1335;0.547398686
1336;0.547761619
1337;0.548086524
1338;0.548410475
1339;0.548677623
1340;0.548967659
1341;0.549284101
1342;0.54953593
1343;0.549802721
1344;0.550089657
1345;0.550370038
1346;0.550678849
1347;0.550954342
1348;0.551219821
1349;0.551462829
1350;0.551663876
1351;0.55193162
1352;0.552237034
1353;0.552507758
1354;0.552810609
1355;0.553057253
1356;0.553242624
1357;0.553469837
1358;0.553700805
1359;0.553934813
1360;0.554207146
1361;0.554414868
1362;0.554617524
1363;0.554775715
1364;0.554892659
1365;0.554959595
1366;0.555014729
1367;0.554988444
1368;0.554889321
1369;0.554785848
1370;0.554601729
1371;0.554294229
1372;0.5539276
1373;0.553478241
1374;0.552946389
1375;0.552376151
1376;0.551812768
1377;0.551181257
1378;0.55064404
1379;0.549951732
1380;0.54892534
1381;0.547984302
1382;0.546127975
1383;0.544467151
1384;0.540687203
1385;0.536269784
1386;0.529670119
1387;0.520854414
1388;0.511713386
1389;0.500003338
1390;0.490259588
1391;0.479083061
1392;0.471305132
1393;0.464626938
1394;0.460766524
1395;0.459801733
1396;0.459974766
1397;0.46283868
1398;0.465852469
1399;0.470139056
1400;0.474992752
1401;0.480057687
1402;0.48490876
1403;0.489379197
1404;0.493594855
1405;0.497210562
1406;0.500459313
1407;0.503164291
1408;0.505470991
1409;0.507512927
1410;0.509333849
1411;0.511040211
1412;0.512535512
1413;0.514068305
1414;0.515405178
1415;0.516876519
1416;0.518391252
1417;0.51991868
1418;0.52149868
1419;0.523009539
1420;0.524592817
1421;0.525993407
1422;0.527340114
1423;0.528509021
1424;0.529558361
1425;0.530457139
1426;0.531167865
1427;0.531829
1428;0.532348275
1429;0.532827377
1430;0.533227623
1431;0.533587515
1432;0.533843219
1433;0.534126163
1434;0.534392834
1435;0.534626663
1436;0.534860432
1437;0.53513664
1438;0.535419643
1439;0.535731137
1440;0.536132514
1441;0.536572516
1442;0.537105143
1443;0.537689388
1444;0.538341939
1445;0.539069474
1446;0.539778888
1447;0.540532351
1448;0.541266978
1449;0.542002857
1450;0.542716861
1451;0.543460071
1452;0.54410702
1453;0.544701815
1454;0.545294702
1455;0.545823276
1456;0.546374083
1457;0.546920717
1458;0.547472298
1459;0.548015356
1460;0.548567414
1461;0.549139619
1462;0.549691439
1463;0.550210059
1464;0.550776005
1465;0.551369965
1466;0.5519436
1467;0.55251348
1468;0.553120852
1469;0.553730071
1470;0.554360986
1471;0.55507201
1472;0.55572021
1473;0.556289732
1474;0.556929946
1475;0.557583511
1476;0.558266699
1477;0.558975279
1478;0.55965817
1479;0.560293078
1480;0.560922682
1481;0.561521769
1482;0.562133253
1483;0.56276983
1484;0.563342988
1485;0.563939273
1486;0.564571023
1487;0.565094471
1488;0.565597296
1489;0.566106737
1490;0.56655246
1491;0.566996932
1492;0.567438781
1493;0.567830861
1494;0.568150222
1495;0.568523467
1496;0.568893313
1497;0.569269001
1498;0.5696944
1499;0.570042074
1500;0.570343733
1501;0.570642412
1502;0.570901096
1503;0.571172297
1504;0.571459353
1505;0.571710885
1506;0.571920276
1507;0.572162986
1508;0.572414458
1509;0.572640657
1510;0.572878778
1511;0.573093653
1512;0.573259234
1513;0.573454201
1514;0.573662043
1515;0.573873937
1516;0.574099839
1517;0.574308336
1518;0.57451421
1519;0.574710369
1520;0.574867666
1521;0.575069964
1522;0.575322986
1523;0.575535834
1524;0.575755477
1525;0.575950384
1526;0.576097548
1527;0.57625246
1528;0.576385617
1529;0.576562226
1530;0.576769173
1531;0.576944411
1532;0.577153385
1533;0.577422738
1534;0.577628851
1535;0.577840507
1536;0.578072727
1537;0.578249991
1538;0.578486979
1539;0.578761816
1540;0.578962445
1541;0.579205096
1542;0.579486668
1543;0.579726815
1544;0.580047011
1545;0.580365896
1546;0.58058548
1547;0.580804884
1548;0.581028819
1549;0.581287444
1550;0.581596196
1551;0.581876516
1552;0.582138777
1553;0.582411051
1554;0.582688451
1555;0.583009422
1556;0.58333987
1557;0.583635926
1558;0.583913088
1559;0.584196985
1560;0.584500849
1561;0.584837437
1562;0.585190952
1563;0.58551091
1564;0.585798681
1565;0.586085439
1566;0.586383998
1567;0.586702168
1568;0.58705467
1569;0.587480426
1570;0.587827861
1571;0.588161647
1572;0.588491917
1573;0.588760853
1574;0.589115381
1575;0.589550018
1576;0.589868426
1577;0.590168238
1578;0.590458453
1579;0.590658545
1580;0.590946436
1581;0.591303468
1582;0.591611326
1583;0.591885686
1584;0.592197418
1585;0.592519641
1586;0.592851162
1587;0.593209207
1588;0.593577385
1589;0.593963087
1590;0.594315886
1591;0.594675183
1592;0.595011652
1593;0.595301151
1594;0.595623553
1595;0.595983863
1596;0.596308053
1597;0.596611917
1598;0.596898079
1599;0.597133338
1600;0.597423613
1601;0.597766042
1602;0.598069489
1603;0.59834677
1604;0.598657906
1605;0.598982692
1606;0.59927392
1607;0.599595189
1608;0.599881411
1609;0.600081265
1610;0.600339293
1611;0.600647092
1612;0.600927889
1613;0.601206958
1614;0.601492047
1615;0.601757169
1616;0.602038205
1617;0.60236448
1618;0.602608979
1619;0.602809191
1620;0.603033602
1621;0.603217006
1622;0.603441179
1623;0.603708446
1624;0.603943765
1625;0.604187548
1626;0.604367614
1627;0.604477823
1628;0.604672909
1629;0.604866982
1630;0.605083942
1631;0.605396986
1632;0.605606377
1633;0.605702102
1634;0.60593158
1635;0.6062451
1636;0.606481612
1637;0.60674566
1638;0.606977582
1639;0.607110143
1640;0.607293665
1641;0.607542396
1642;0.60775286
1643;0.607918143
1644;0.608131528
1645;0.608383656
1646;0.60858655
1647;0.608794451
1648;0.60897547
1649;0.609108984
1650;0.60926044
1651;0.609399915
1652;0.609571695
1653;0.60974586
1654;0.609930754
1655;0.610160708
1656;0.610355198
1657;0.610568941
1658;0.610696495
1659;0.610767663
1660;0.610846102
1661;0.610806823
1662;0.61092782
1663;0.611164927
1664;0.611336052
1665;0.611583412
1666;0.611741006
1667;0.61178112
1668;0.611828148
1669;0.611910701
1670;0.61198765
1671;0.612094522
1672;0.612246215
1673;0.612434506
1674;0.612637758
1675;0.612835944
1676;0.613080263
1677;0.613270342
1678;0.613432407
1679;0.613625705
1680;0.613724411
1681;0.613777339
1682;0.613813579
1683;0.613830626
1684;0.61387378
1685;0.613933086
1686;0.613978028
1687;0.614021778
1688;0.614070296
1689;0.614109933
1690;0.614206374
1691;0.614318669
1692;0.614404917
1693;0.614562511
1694;0.614741683
1695;0.614863276
1696;0.6150105
1697;0.615126371
1698;0.615184426
1699;0.615294755
1700;0.6154176
1701;0.615514457
1702;0.61559248
1703;0.615631402
1704;0.61562115
1705;0.615621567
1706;0.61564815
1707;0.615654469
1708;0.615706444
1709;0.615780592
1710;0.615823805
1711;0.615862429
1712;0.615837693
1713;0.615790844
1714;0.615787923
1715;0.615731239
1716;0.615664482
1717;0.615604222
1718;0.615487635
1719;0.61545831
1720;0.615476727
1721;0.615465701
1722;0.615424037
1723;0.615282297
1724;0.615181744
1725;0.615144789
1726;0.615168691
1727;0.615189731
1728;0.615239799
1729;0.615186989
1730;0.615123212
1731;0.614953458
1732;0.614658415
1733;0.614450157
1734;0.614181221
1735;0.613944113
1736;0.613791823
1737;0.613523543
1738;0.613345742
1739;0.613259375
1740;0.613080084
1741;0.612940371
1742;0.612788141
1743;0.612586439
1744;0.612404108
1745;0.612217486
1746;0.612068892
1747;0.611921012
1748;0.611754239
1749;0.611564696
1750;0.61135447
1751;0.611159444
1752;0.610964537
1753;0.610802531
1754;0.610650539
1755;0.610414922
1756;0.610137403
1757;0.609897554
1758;0.609622955
1759;0.609342515
1760;0.60910368
1761;0.608853519
1762;0.608577609
1763;0.60829258
1764;0.60802424
1765;0.607782364
1766;0.607580483
1767;0.607362747
1768;0.607164323
1769;0.606972754
1770;0.606713533
1771;0.606532335
1772;0.606377244
1773;0.60615778
1774;0.605956197
1775;0.605724812
1776;0.605453789
1777;0.605132639
1778;0.60483861
1779;0.604573786
1780;0.604254425
1781;0.603903413
1782;0.603598714
1783;0.603291929
1784;0.603077412
1785;0.602935314
1786;0.602712989
1787;0.602475643
1788;0.602213979
1789;0.601928532
1790;0.601681709
1791;0.601440668
1792;0.601196527
1793;0.600944519
1794;0.600713789
1795;0.600488603
1796;0.600214481
1797;0.599941432
1798;0.599612892
1799;0.599292457
1800;0.599101007
1801;0.59889102
1802;0.598705709
1803;0.598569751
1804;0.598327339
1805;0.598075151
1806;0.597839952
1807;0.597487628
1808;0.597110093
1809;0.596749485
1810;0.596304953
1811;0.595861375
1812;0.595475852
1813;0.595056057
1814;0.594805419
1815;0.594578922
1816;0.594358265
1817;0.594093442
1818;0.593774855
1819;0.593467593
1820;0.593215942
1821;0.592974842
1822;0.592709363
1823;0.59240365
1824;0.592002571
1825;0.591567159
1826;0.591105819
1827;0.590664148
1828;0.590312898
1829;0.589958847
1830;0.589617729
1831;0.578726649
1832;0.578332424
1833;0.57797569
1834;0.577798605
1835;0.57745719
1836;0.577061296
1837;0.576630652
1838;0.576163173
1839;0.575599849
1840;0.575085819
1841;0.574566066
1842;0.573908687
1843;0.573319733
1844;0.572721422
1845;0.572075963
1846;0.571450889
1847;0.570906937
1848;0.570263386
1849;0.569477558
1850;0.568723023
1851;0.567921758
1852;0.567100823
1853;0.566277206
1854;0.565472126
1855;0.564630687
1856;0.563729346
1857;0.562814951
1858;0.561918676
1859;0.560953915
1860;0.559927046
1861;0.559018433
1862;0.557971895
1863;0.556934953
1864;0.555946708
1865;0.554772913
1866;0.553585947
1867;0.552405357
1868;0.551116943
1869;0.549612641
1870;0.548067629
1871;0.546400368
1872;0.544617891
1873;0.542810321
1874;0.540904641
1875;0.538819253
1876;0.536685407
1877;0.534499407
1878;0.532225549
1879;0.529883921
1880;0.527540922
1881;0.525035679
1882;0.522389412
1883;0.519666433
1884;0.516772926
1885;0.51374191
1886;0.510626256
1887;0.507371664
1888;0.503910065
1889;0.500270009
1890;0.496516496
1891;0.492579192
1892;0.488458335
1893;0.484386712
1894;0.480276227
1895;0.476018369
1896;0.471775711
1897;0.467514962
1898;0.463347077
1899;0.459377944
1900;0.455542982
1901;0.451896936
1902;0.448500961
1903;0.445346892
1904;0.442529291
1905;0.440013379
1906;0.437848628
1907;0.435979038
1908;0.434385061
1909;0.433231056
1910;0.43237865
1911;0.431895703
1912;0.43160525
1913;0.431546062
1914;0.43158868
1915;0.431708902
1916;0.432060122
1917;0.43255344
1918;0.433157921
1919;0.433839053
1920;0.434499294
1921;0.435191184
1922;0.435849965
1923;0.436510086
1924;0.437084466
1925;0.437713921
1926;0.438323945
1927;0.438872278
1928;0.439451993
1929;0.439980716
1930;0.440443426
1931;0.440896839
1932;0.441397399
1933;0.441821396
1934;0.442229778
1935;0.442501694
1936;0.442785919
1937;0.443030566
1938;0.443232179
1939;0.44348833
1940;0.44376573
1941;0.44400543
1942;0.444096357
1943;0.444225699
1944;0.444383025
1945;0.44450587
1946;0.444629371
1947;0.44481048
1948;0.444948792
1949;0.445026368
1950;0.445122927
1951;0.445201874
1952;0.445329964
1953;0.445544302
1954;0.445705652
1955;0.445847005
1956;0.44596985
1957;0.446139991
1958;0.446322918
1959;0.446494997
1960;0.446697384
1961;0.446896583
1962;0.447066605
1963;0.447224945
1964;0.447419167
1965;0.44764021
1966;0.44786796
1967;0.448060811
1968;0.448268294
1969;0.44848904
1970;0.44869855
1971;0.448929489
1972;0.449122638
1973;0.449268878
